word,wcbc_freq_z,wcbc_rank_z,tasa_freq_z,tasa_rank_z,coca_freq_z,coca_rank_z,childes_freq_z,childes_rank_z,morphemes_z,syllables_z,aoa_z,letters_z,imageability_z,consistency_z
site,-0.10143931271193429,0.22386215503011,-0.06975080187054278,0.10773883599957168,0.2258355697851655,-1.7078846201016826,-0.041713624849066364,-1.31631220315103,-0.9916618511930213,-1.0202509913160216,-0.5463693828697073,-1.0812787861091773,-0.8062689353485374,1.085062179179966
sixth,-0.10143931271193429,0.22421001240793617,-0.0552748109057117,-1.0755200564812732,0.0972637603168189,-1.6871359552808725,-0.03669602870676757,-1.399880111452076,0.6745907702200353,-1.0202509913160216,-0.5463693828697073,-0.6099679155473381,NA,1.085062179179966
sizes,-0.10143931271193429,0.2245578697857623,-0.05237961271274549,-1.1345940342712946,0.02614946834340759,-1.6395125201157368,-0.04077282557238534,-1.3356746790888427,0.6745907702200353,0.20681717203237465,NA,-0.6099679155473381,NA,-0.7588162836705695
skated,-0.10143931271193429,0.22490572716358845,-0.05180057307415225,-1.1443803860136172,-0.0073202432022874825,-1.5174449969811006,-0.048926419303620884,-0.8838835738732109,0.6745907702200353,0.20681717203237465,NA,-0.13865704498549897,NA,NA
skirt,-0.10143931271193429,0.22525358454141461,-0.04774729560399955,-1.207724771836652,0.2644000365767169,-1.710774496735567,-0.005336052817400083,-1.553704225846922,-0.9916618511930213,-1.0202509913160216,0.7756386346956251,-0.6099679155473381,1.5191422513651662,1.085062179179966
skit,-0.10143931271193429,0.22560144191924075,NA,NA,-0.01666062781969076,-1.289707565319824,-0.04861281954472721,-0.9359874587753113,-0.9916618511930213,-1.0202509913160216,0.11463462591295895,-1.0812787861091773,-0.39590225534023676,0.9860967642222229
skoodle,-0.10143931271193429,0.2259492992970669,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33265382557634016,NA,NA
slap,-0.10143931271193429,0.22629715667489303,-0.0633813658460171,-0.7888689172652371,0.10115558724073694,-1.6881533650321277,-0.020702441003190148,-1.5074494222177026,-0.9916618511930213,-1.0202509913160216,0.445136630304292,-1.0812787861091773,0.35643665800831437,1.0355794717010942
slaves,-0.10143931271193429,0.2266450140527192,-0.04369401813384685,-1.2520302551791678,0.07900755401916704,-1.6805011448817297,-0.05018081833919558,-0.49515497709392786,0.6745907702200353,-1.0202509913160216,NA,-0.13865704498549897,NA,1.085062179179966
sleek,-0.10143931271193429,0.22699287143054533,-0.06859272259335629,-0.22784406192807852,0.06329872534444335,-1.6727839836833793,-0.05080801785698293,0.12262902079691133,-0.9916618511930213,-1.0202509913160216,-0.5463693828697073,-0.6099679155473381,-0.6694800420124372,1.085062179179966
sleepily,-0.10143931271193429,0.22734072880837147,-0.06859272259335629,-0.22766612826003627,-0.001871685508802238,-1.5602952651217306,-0.05112161761587661,1.415881059476657,2.340843391633092,1.4338853353807708,NA,0.8039646961381792,NA,-0.2244875556814487
sleeve,-0.10143931271193429,0.22768858618619764,-0.05701192982149143,-1.030146971130504,0.15252770263645493,-1.6990526375801485,-0.006590451852974783,-1.5507460698008673,-0.9916618511930213,-1.0202509913160216,0.445136630304292,-0.13865704498549897,1.382353358029066,1.085062179179966
slender,-0.10143931271193429,0.22803644356402378,-0.06917176223194953,-0.08869993351905282,0.1386586466894016,-1.696725583361852,NA,NA,-0.9916618511930213,0.20681717203237465,-0.5463693828697073,0.33265382557634016,NA,0.535196365311329
slick,-0.10143931271193429,0.22838430094184992,-0.06917176223194953,-0.08852199985101059,0.10582577954943857,-1.689495480023145,-0.04547682195579046,-1.1868256453169068,-0.9916618511930213,-1.0202509913160216,-0.1057000436812632,-0.6099679155473381,-0.3275078086721866,1.085062179179966
slides,-0.10143931271193429,0.22873215831967608,-0.06511848476179682,-0.668585757668688,0.12868141766626628,-1.6948314694632387,-0.02415203835102057,-1.4914484872413156,0.6745907702200353,-1.0202509913160216,NA,-0.13865704498549897,NA,1.085062179179966
slightly,-0.10143931271193429,0.22908001569750222,-0.05180057307415225,-1.144202452345575,0.6632061555440265,-1.722420591335041,-0.047672020268046185,-1.0436912311793949,0.6745907702200353,0.20681717203237465,0.11463462591295895,0.8039646961381792,NA,0.8817607771682774
slim,-0.10143931271193429,0.22942787307532836,-0.05874904873727116,-0.9799696767425946,0.12351590193088417,-1.6937274716480468,-0.049553618821408234,-0.738261619424244,-0.9916618511930213,-1.0202509913160216,-0.8768713872610403,-1.0812787861091773,0.28804221134026453,1.011437389917819
slingers,-0.10143931271193429,0.22977573045315453,NA,NA,-0.017155951246371235,-1.2546393994254967,NA,NA,2.340843391633092,0.20681717203237465,NA,0.8039646961381792,NA,NA
slither,-0.10143931271193429,0.23012358783098066,NA,NA,-0.008523171524225784,-1.5040996116268706,-0.048926419303620884,-0.8834801889578399,-0.9916618511930213,0.20681717203237465,2.4281486566522905,0.33265382557634016,NA,0.15544372377382715
sliver,-0.10143931271193429,0.2304714452088068,NA,NA,0.015110831977385537,-1.620668792701532,-0.04986721858030191,-0.6346589269930999,-0.9916618511930213,0.20681717203237465,0.445136630304292,-0.13865704498549897,NA,0.15544372377382715
