source,word,Z,var,source_order
Dolch,use,0.11265532017909394,wcbc,1
Dolch,very,2.2730647975340155,wcbc,1
Dolch,wash,0.06075359099339012,wcbc,1
Dolch,which,0.3656762499594,wcbc,1
Dolch,why,0.917132122557503,wcbc,1
Dolch,wish,0.4565042760343817,wcbc,1
Dolch,work,0.38513939840403894,wcbc,1
Dolch,would,2.350917391312571,wcbc,1
Dolch,write,0.04777815869696417,wcbc,1
Dolch,your,3.181345058283832,wcbc,1
Dolch,about,1.857850964048385,wcbc,1
Dolch,better,0.3916271145522519,wcbc,1
Dolch,bring,0.11265532017909394,wcbc,1
Dolch,carry,0.03480272640053822,wcbc,1
Dolch,clean,0.13860618477194583,wcbc,1
Dolch,cut,0.08670445558624203,wcbc,1
Dolch,done,0.31377452077369616,wcbc,1
Dolch,draw,-0.02358671893337857,wcbc,1
Dolch,drink,0.07372902328981608,wcbc,1
Dolch,eight,0.07372902328981608,wcbc,1
Dolch,fall,0.1515816170683718,wcbc,1
Dolch,far,0.2553850754397794,wcbc,1
Dolch,full,0.372163966107613,wcbc,1
Dolch,got,1.4621002790073931,wcbc,1
Dolch,grow,0.1775324816612237,wcbc,1
Dolch,hold,0.1775324816612237,wcbc,1
Dolch,hot,0.3462131015147611,wcbc,1
Dolch,hurt,0.03480272640053822,wcbc,1
Dolch,if,2.662327766426794,wcbc,1
Dolch,keep,0.3462131015147611,wcbc,1
Dolch,kind,0.2034833462540756,wcbc,1
Dolch,laugh,-0.02358671893337857,wcbc,1
Dolch,light,0.26836050773620534,wcbc,1
Dolch,long,1.3258582398949206,wcbc,1
Dolch,much,0.7030374896664748,wcbc,1
Dolch,myself,0.04129044254875119,wcbc,1
Dolch,never,1.2415179299681518,wcbc,1
Dolch,only,0.7225006381111138,wcbc,1
Dolch,own,0.2294342108469275,wcbc,1
Dolch,pick,0.11265532017909394,wcbc,1
Dolch,seven,0.08021673943802905,wcbc,1
Dolch,shall,0.4240656952933168,wcbc,1
Dolch,show,0.4175779791451038,wcbc,1
Dolch,six,0.08670445558624203,wcbc,1
Dolch,small,0.6641111927771969,wcbc,1
Dolch,start,0.11265532017909394,wcbc,1
Dolch,ten,0.2034833462540756,wcbc,1
Dolch,today,0.35270081766297406,wcbc,1
Dolch,together,0.372163966107613,wcbc,1
Dolch,try,0.40460254684867786,wcbc,1
Dolch,warm,0.21645877855050155,wcbc,1
Dolch,apple,0.093192171734455,wcbc,1
Dolch,baby,0.9884970001878458,wcbc,1
Dolch,back,2.396331404350062,wcbc,1
Dolch,ball,0.3656762499594,wcbc,1
Dolch,bear,0.949570703298568,wcbc,1
Dolch,bed,0.923619838705716,wcbc,1
Dolch,bell,0.2034833462540756,wcbc,1
Dolch,bird,0.6122094635914931,wcbc,1
Dolch,birthday,0.12563075247551989,wcbc,1
Dolch,boat,0.1515816170683718,wcbc,1
Dolch,box,0.4435288437379557,wcbc,1
Dolch,boy,0.7160129219629008,wcbc,1
Dolch,bread,0.2488973592915664,wcbc,1
Dolch,brother,0.28782365618084427,wcbc,1
Dolch,cake,0.20997106240228855,wcbc,1
Dolch,car,0.6705989089254099,wcbc,1
Dolch,cat,1.5334651566377355,wcbc,1
Dolch,chair,0.05426587484517715,wcbc,1
Dolch,chicken,0.16455704936479776,wcbc,1
Dolch,children,0.43704112758974273,wcbc,1
Dolch,christmas,0.04129044254875119,wcbc,1
Dolch,coat,0.04129044254875119,wcbc,1
Dolch,corn,0.04777815869696417,wcbc,1
Dolch,cow,0.2748482238844183,wcbc,1
Dolch,day,2.2341385006447374,wcbc,1
Dolch,dog,1.2804442268574296,wcbc,1
Dolch,doll,NA,wcbc,1
Dolch,door,0.7808900834450305,wcbc,1
Dolch,duck,0.35918853381118704,wcbc,1
Dolch,egg,0.11914303632730693,wcbc,1
Dolch,eye,0.03480272640053822,wcbc,1
Dolch,farm,-0.01709900278516559,wcbc,1
Dolch,farmer,0.04129044254875119,wcbc,1
Dolch,father,0.29431137232905724,wcbc,1
Dolch,feet,0.5862585989986412,wcbc,1
Dolch,fire,0.3656762499594,wcbc,1
Dolch,fish,0.6511357604807709,wcbc,1
