word,aoa
ageless,8
agelong,13
agency,6
agenda,10
agent,8
agent provocateur,14
ageratum,14
ages,6
agglomerate,14
agglomeration,13
agglutinate,14
agglutinative,14
aggrade,14
aggrandize,14
aggrandizement,14
aggravate,10
aggravation,10
aggregate,14
aggregation,13
aggress,10
aggression,10
aggressive,6
aggressor,10
aggrieved,10
aghast,10
agile,12
agility,10
aging,6
agitate,10
agitation,10
agitator,10
agleam,10
aglet,14
agley,14
aglitter,10
aglow,6
agnostic,14
agnosticism,14
ago,2
agog,14
agone,10
agonic,14
agonic line,14
agonize,8
agony,8
agora,14
agoraphobe,12
agoraphobia,14
agouti,14
agrarian,12
agree,2
agreeable,6
agreement,3
agribusiness,14
agricultural,4
agriculture,4
agriculturist,6
agril,14
agronomist,14
agronomy,14
aground,6
agrypnotic,14
ague,14
ah,4
aha,6
ahead,5
ahem,9
ahoy,2
ai,14
aid,2
aide,10
aide-de-camp,12
aide-memoire,13
aigrette,14
aigu,14
ail,6
aileron,10
ailment,6
aim,6
aimless,8
ain't,2
aintcha?,4
air,8
air base,2
air castle,13
air force,4
air mail,2
air pocket,6
air raid,2
air rifle,6
air-conditioned,2
air-minded,8
airborne,6
aircraft,4
aircraft carrier,10
airdrome,14
airedale,10
airfield,2
airfoil,12
airier,6
airily,12
airiness,8
airing,7.333333333333333
airlift,10
airline,3
airman,4
airplane,2
airport,2
airship,13
airsick,2
airstrip,6
airtight,6
airway,2
airworthy,8
airy,7.666666666666667
aisle,6
ait,14
ajar,6
akimbo,14
akin,12
al fresco,12
alabamine,14
alabaster,13
alack,14
alackaday,12
alacrity,13.5
alar,14
alarm,3
alarm clock,2
alarming,6
alarmist,13
alarum,14
alas,10
alate,14
alb,14
albacore,14
albatross,12
albedo,14
albeit,14
albinism,12
albino,10
album,3
albumen,13
albumin,12
alburnum,14
alcalde,14
alcazar,14
alchemist,12
alchemy,13
alcohol,5.333333333333333
alcoholic,2
alcoholism,4
alcove,12
aldehyde,12
alder,14
alderman,10
ale,6
aleatory,14
alee,14
alehouse,12
alembic,13.5
alert,5.333333333333333
alertness,6
alewife,14
alexia,14
alfalfa,6
alga,12
algae,13
algebra,6
algebraic,6
algorism,14
algorithm,13
alias,10
alibi,6
alien,10
alienate,14
alienation,14
alienist,14
alight,12.5
align,13
alignment,11.333333333333334
alike,2
aliment,14
alimentary,13
alimentary canal,12
alimony,8
aline,10
aliquant,14
aliquot,14
alive,2
alkali,10
alkaline,8
alkalize,10
alkaloid,14
all,2
all about,4
all around,4
all but,4
all fours,4
all in all,4
all of a sudden,2
all right,2
all set,6
all the same,12
all thumbs,6
all told,12
all-american,8
all-around,12
all-fired,13
all-important,2
all-out,10
all-round,10
all-star,2
allah,8
allay,14
allegation,12
allege,13
allegedly,12.5
allegiance,6
allegorical,14
allegory,12
allegretto,13
allegro,12
allele,14
alleluia,12
allergic,6
allergy,6
alleviate,12
alley,6.666666666666667
alleyway,8
alliance,8
allied,10
allies,12
alligator,2
alligator pear,13
alliteration,10
alliterative,13
allocate,13
allot,12.5
allotment,10
allotropic,14
allow,2
allow for,6
allowable,2
allowance,3
alloy,10
allude,14
allure,13
allurement,12
alluring,10
allusion,13
alluvial,14
alluvium,14
ally,12
alma mater,10
almanac,10
almighty,5
almond,4
almoner,14
almost,2
alms,14
almshouse,13
aloes,14
aloft,6
aloha,6
alone,3.3333333333333335
along,7.5
along the building,6
along the wall,4
alongside,2
aloof,10
aloofness,13
aloud,2
alp,6
alpaca,12.333333333333334
alpenstock,14
alpha,11.5
alpha rays,14
alphabet,3
alphabetical,2
alphabetize,4
alpine,5
already,4
also,4
also-ran,13
altar,4
alter,10.5
alter ego,13
alteration,8
alterative,14
altercation,14
alternate,6.8
alternately,8
alternating current,10
alternation,12
alternative,12
alternator,12
althea,14
altho,6
althorn,14
although,6
altimeter,8
altitude,6
alto,6
altogether,10
altruism,14
altruist,13
altruistic,13
alum,12
alumina,13
aluminum,4
aluminum foil,4
alumna,10
alumnae,13
alumni,10
alumnus,10
alveolus,13
always,2
alyssum,12
am,7
amah,14
amain,14
amalgam,13
amalgamate,10
amalgamation,13
amanuensis,14
amaranth,14
amaryllis,10
amass,12
amateur,6
amateurish,10
amatory,12
amaze,2
amazement,2
amazing,2
amazingly,2
amazon,13
ambassador,8
ambassadress,12
amber,8
ambergris,14
ambidextrous,13
ambient,14
ambiguity,10
ambiguous,12
ambit,13
ambition,6
ambitious,6
ambivalent,13
amble,10
amblyopia,14
ambrosia,13
ambulance,4
ambulant,13
ambulatory,13
ambuscade,14
ambush,4
ameba,10
ameer,12
ameliorate,14
amen,4
amenable,12
amend,8
amendment,6
amends,10
amenity,14
amerce,14
america,2
american,4
