orth,wcbc_freq,rank
times,33,700
tomorrow,33,701
toward,33,702
woof,33,703
apple,32,704
bath,32,705
become,32,706
blew,32,707
ear,32,708
early,32,709
falling,32,710
forth,32,711
kids,32,712
linsky,32,713
loud,32,714
matter,32,715
moo,32,716
named,32,717
near,32,718
okay,32,719
ones,32,720
orange,32,721
rabbit,32,722
real,32,723
sorry,32,724
stairs,32,725
wants,32,726
weve,32,727
whispered,32,728
wood,32,729
wrong,32,730
yelled,32,731
above,31,732
berries,31,733
butter,31,734
cut,31,735
dancing,31,736
doesnt,31,737
driver,31,738
duncan,31,739
ears,31,740
feeling,31,741
followed,31,742
hare,31,743
henry,31,744
herself,31,745
higher,31,746
liked,31,747
lots,31,748
others,31,749
picnic,31,750
picture,31,751
pink,31,752
safe,31,753
shut,31,754
silver,31,755
six,31,756
stay,31,757
toys,31,758
2,30,759
afternoon,30,760
camilla,30,761
easy,30,762
leaves,30,763
means,30,764
meet,30,765
middle,30,766
places,30,767
poop,30,768
seven,30,769
tiny,30,770
toes,30,771
wonder,30,772
3,29,773
build,29,774
climb,29,775
dinosaur,29,776
dragons,29,777
drink,29,778
eight,29,779
evening,29,780
few,29,781
finger,29,782
fingers,29,783
large,29,784
lay,29,785
lovely,29,786
magic,29,787
merriweather,29,788
played,29,789
pop,29,790
puppy,29,791
pushed,29,792
quick,29,793
sandwich,29,794
short,29,795
sounds,29,796
south,29,797
spring,29,798
stayed,29,799
babar,28,800
brush,28,801
bunny,28,802
everywhere,28,803
gordon,28,804
hed,28,805
mind,28,806
mothers,28,807
ring,28,808
sleeping,28,809
smile,28,810
stuck,28,811
table,28,812
TRUE,28,813
wall,28,814
whistle,28,815
worried,28,816
year,28,817
already,27,818
also,27,819
beach,27,820
beans,27,821
became,27,822
bottom,27,823
breakfast,27,824
broke,27,825
clack,27,826
dum,27,827
elephants,27,828
gray,27,829
katy,27,830
mcbee,27,831
monster,27,832
office,27,833
paw,27,834
pussy,27,835
queen,27,836
sand,27,837
saying,27,838
shes,27,839
slept,27,840
summer,27,841
tight,27,842
trains,27,843
twenty,27,844
wash,27,845
bat,26,846
bow,26,847
chair,26,848
clear,26,849
clifford,26,850
cool,26,851
dr,26,852
dragon,26,853
everybody,26,854
forest,26,855
general,26,856
ho,26,857
irene,26,858
master,26,859
max,26,860
meeting,26,861
music,26,862
nobody,26,863
penny,26,864
pet,26,865
pip,26,866
probably,26,867
rope,26,868
ruff,26,869
sign,26,870
soup,26,871
talking,26,872
blaze,25,873
bushes,25,874
coaches,25,875
corn,25,876
cross,25,877
dirt,25,878
doughnut,25,879
dress,25,880
fat,25,881
flower,25,882
giant,25,883
goat,25,884
god,25,885
