orth,wcbc_freq,rank
crane,10,1839
crowd,10,1840
diddle,10,1841
dingo,10,1842
disappeared,10,1843
ditty,10,1844
doorway,10,1845
double,10,1846
duke,10,1847
eek,10,1848
fathers,10,1849
fields,10,1850
fill,10,1851
flitter,10,1852
fond,10,1853
forgotten,10,1854
furry,10,1855
fuzzy,10,1856
gallop,10,1857
geese,10,1858
gentle,10,1859
gingko,10,1860
goldfish,10,1861
gruffalos,10,1862
handed,10,1863
hind,10,1864
homework,10,1865
honor,10,1866
hose,10,1867
itself,10,1868
japan,10,1869
jelly,10,1870
jig,10,1871
kite,10,1872
ladies,10,1873
laid,10,1874
lee,10,1875
ler,10,1876
lisa,10,1877
load,10,1878
loving,10,1879
mac,10,1880
malt,10,1881
mamas,10,1882
march,10,1883
meal,10,1884
melvin,10,1885
napping,10,1886
notice,10,1887
nut,10,1888
oil,10,1889
oink,10,1890
ooo,10,1891
p,10,1892
pajamas,10,1893
palace,10,1894
parade,10,1895
perfectly,10,1896
petes,10,1897
pieces,10,1898
piled,10,1899
pirate,10,1900
poked,10,1901
ps,10,1902
questions,10,1903
rat,10,1904
retrieve,10,1905
rich,10,1906
royal,10,1907
safely,10,1908
sale,10,1909
sammy,10,1910
saved,10,1911
seek,10,1912
shining,10,1913
shiver,10,1914
shot,10,1915
shouting,10,1916
signal,10,1917
snoring,10,1918
soap,10,1919
sparrow,10,1920
spot,10,1921
squeak,10,1922
st,10,1923
striped,10,1924
students,10,1925
supposed,10,1926
swan,10,1927
sweater,10,1928
swims,10,1929
tao,10,1930
tap,10,1931
taught,10,1932
throat,10,1933
thursday,10,1934
tie,10,1935
tip,10,1936
touch,10,1937
tracks,10,1938
triangles,10,1939
truth,10,1940
tummy,10,1941
tv,10,1942
twice,10,1943
twinkle,10,1944
upside,10,1945
useful,10,1946
usually,10,1947
view,10,1948
werent,10,1949
whistled,10,1950
y,10,1951
yell,10,1952
agree,9,1953
arent,9,1954
aunt,9,1955
awake,9,1956
babys,9,1957
barber,9,1958
beetles,9,1959
beg,9,1960
billions,9,1961
blueberry,9,1962
boiled,9,1963
bones,9,1964
brain,9,1965
bricks,9,1966
bugs,9,1967
bulldozer,9,1968
bumps,9,1969
calls,9,1970
carrot,9,1971
caterpillar,9,1972
center,9,1973
cheer,9,1974
cheered,9,1975
chest,9,1976
chewed,9,1977
chosen,9,1978
crayons,9,1979
cub,9,1980
curly,9,1981
dame,9,1982
dare,9,1983
darling,9,1984
dept,9,1985
die,9,1986
dishes,9,1987
doo,9,1988
dreamed,9,1989
ducky,9,1990
dusty,9,1991
entire,9,1992
escape,9,1993
exciting,9,1994
fancy,9,1995
feast,9,1996
featherlegs,9,1997
fifteen,9,1998
finish,9,1999
flute,9,2000
games,9,2001
gerald,9,2002
gift,9,2003
given,9,2004
giving,9,2005
glasses,9,2006
grab,9,2007
grandpa,9,2008
grumpy,9,2009
h,9,2010
harder,9,2011
hatch,9,2012
hood,9,2013
horns,9,2014
hours,9,2015
hundreds,9,2016
island,9,2017
jaws,9,2018
joined,9,2019
jumps,9,2020
klopp,9,2021
knee,9,2022
lamb,9,2023
leaving,9,2024
lillys,9,2025
lions,9,2026
lock,9,2027
loose,9,2028
macaroni,9,2029
maisy,9,2030
maple,9,2031
mark,9,2032
merry,9,2033
mew,9,2034
mighty,9,2035
movie,9,2036
nails,9,2037
napkin,9,2038
naughty,9,2039
neighborhood,9,2040
neighbors,9,2041
older,9,2042
order,9,2043
oven,9,2044
pancake,9,2045
paotze,9,2046
persons,9,2047
picking,9,2048
piper,9,2049
planted,9,2050
pointed,9,2051
pointing,9,2052
politely,9,2053
popped,9,2054
porridge,9,2055
potatoes,9,2056
promise,9,2057
proudly,9,2058
prove,9,2059
puff,9,2060
rainy,9,2061
ribbons,9,2062
roof,9,2063
rough,9,2064
rude,9,2065
seats,9,2066
seed,9,2067
sews,9,2068
shade,9,2069
shovels,9,2070
silk,9,2071
sings,9,2072
skate,9,2073
skating,9,2074
skipped,9,2075
skunk,9,2076
smash,9,2077
smelled,9,2078
smells,9,2079
snores,9,2080
sore,9,2081
spin,9,2082
splashing,9,2083
split,9,2084
sports,9,2085
sprinkles,9,2086
steps,9,2087
stops,9,2088
stuff,9,2089
sue,9,2090
swap,9,2091
swung,9,2092
taco,9,2093
taffy,9,2094
tale,9,2095
taps,9,2096
taxi,9,2097
teddy,9,2098
thanked,9,2099
thou,9,2100
thud,9,2101
thy,9,2102
tock,9,2103
tossed,9,2104
tough,9,2105
tre,9,2106
tune,9,2107
underneath,9,2108
voices,9,2109
waah,9,2110
washing,9,2111
ways,9,2112
weak,9,2113
wednesday,9,2114
weeds,9,2115
wing,9,2116
wire,9,2117
yipiyuk,9,2118
yours,9,2119
zebra,9,2120
100,8,2121
agreed,8,2122
airport,8,2123
amazed,8,2124
amazing,8,2125
ambulance,8,2126
annie,8,2127
apartment,8,2128
april,8,2129
asphalt,8,2130
auto,8,2131
backwards,8,2132
bathroom,8,2133
batter,8,2134
becoming,8,2135
begin,8,2136
beluga,8,2137
bend,8,2138
besides,8,2139
billy,8,2140
blankets,8,2141
blows,8,2142
blurp,8,2143
board,8,2144
body,8,2145
breakdown,8,2146
brick,8,2147
bucket,8,2148
building,8,2149
bumped,8,2150
burst,8,2151
capital,8,2152
chick,8,2153
circles,8,2154
clocks,8,2155
coffee,8,2156
coloring,8,2157
company,8,2158
countryside,8,2159
crossly,8,2160
crown,8,2161
crows,8,2162
crumbs,8,2163
daisies,8,2164
decide,8,2165
deer,8,2166
demanded,8,2167
diaper,8,2168
died,8,2169
dopp,8,2170
dots,8,2171
dreaming,8,2172
dreary,8,2173
duckling,8,2174
east,8,2175
edwards,8,2176
elevator,8,2177
eyed,8,2178
fabulous,8,2179
fairy,8,2180
faraway,8,2181
fellow,8,2182
fetch,8,2183
fifty,8,2184
fireman,8,2185
floated,8,2186
fluffy,8,2187
fol,8,2188
fought,8,2189
gas,8,2190
gasped,8,2191
giggled,8,2192
gino,8,2193
goose,8,2194
grandmother,8,2195
groovy,8,2197
guard,8,2198
hardly,8,2199
headed,8,2200
hector,8,2201
helmet,8,2202
hippo,8,2203
hiroko,8,2204
hog,8,2205
hoped,8,2206
hospital,8,2207
hurray,8,2208
imagine,8,2209
ink,8,2210
jamma,8,2211
kindly,8,2212
kissing,8,2213
lane,8,2214
leaf,8,2215
leap,8,2216
lemon,8,2217
lima,8,2218
locked,8,2219
lol,8,2220
london,8,2221
loosey,8,2222
luckily,8,2223
machine,8,2224
madame,8,2225
magical,8,2226
maids,8,2227
marched,8,2228
meatballs,8,2229
mend,8,2230
michael,8,2231
mile,8,2232
mixer,8,2233
morn,8,2234
motor,8,2235
nancy,8,2236
neither,8,2237
net,8,2238
nicely,8,2239
nowhere,8,2240
nurse,8,2241
officer,8,2242
ol,8,2243
ought,8,2244
parlor,8,2245
passenger,8,2246
patch,8,2247
peach,8,2248
pigeon,8,2249
pin,8,2250
placed,8,2251
plants,8,2252
plowed,8,2253
poached,8,2254
pots,8,2255
practice,8,2256
proper,8,2257
pulling,8,2258
q,8,2259
racing,8,2260
rained,8,2261
recess,8,2262
return,8,2263
rid,8,2264
rise,8,2265
rita,8,2266
rug,8,2267
rumble,8,2268
sail,8,2269
sally,8,2270
sarah,8,2271
save,8,2272
seems,8,2273
served,8,2274
setting,8,2275
settle,8,2276
settled,8,2277
sew,8,2278
shapes,8,2279
shopping,8,2280
shore,8,2281
shorts,8,2282
silence,8,2283
sink,8,2284
sixpence,8,2285
skip,8,2286
smiling,8,2287
smooth,8,2288
snacks,8,2289
snuggle,8,2290
sold,8,2291
solomon,8,2292
someday,8,2293
sons,8,2294
speaking,8,2295
sped,8,2296
speed,8,2297
spell,8,2298
spider,8,2299
staring,8,2300
stocking,8,2301
stores,8,2302
stretched,8,2303
stumble,8,2304
stupid,8,2305
telling,8,2306
thousands,8,2307
toads,8,2308
tommy,8,2309
tore,8,2310
towels,8,2311
trail,8,2312
trashy,8,2313
treat,8,2314
trillions,8,2315
tumbled,8,2316
tweedle,8,2317
twelve,8,2318
umbrella,8,2319
using,8,2320
wagon,8,2321
walks,8,2322
war,8,2323
weeks,8,2324
west,8,2325
wheel,8,2326
wheelbarrow,8,2327
willy,8,2328
wine,8,2329
wrapped,8,2330
x,8,2331
yeah,8,2332
yummy,8,2333
zeg,8,2334
1936,7,2335
aboard,7,2336
adventure,7,2337
aha,7,2338
alarm,7,2339
alphabet,7,2340
annual,7,2341
archduke,7,2342
awesome,7,2343
balls,7,2344
bank,7,2345
beds,7,2346
belong,7,2347
berry,7,2348
bim,7,2349
bits,7,2350
bless,7,2351
blub,7,2352
bobbin,7,2353
bobby,7,2354
bonny,7,2355
brake,7,2356
bruin,7,2357
brushed,7,2358
buns,7,2359
bunting,7,2360
buried,7,2361
burnt,7,2362
buster,7,2363
candle,7,2364
cardboard,7,2365
carrion,7,2366
cart,7,2367
chains,7,2368
charlie,7,2369
checked,7,2370
chief,7,2371
church,7,2372
cleared,7,2373
cluck,7,2374
cocky,7,2375
collar,7,2376
crack,7,2377
crumpled,7,2378
crusher,7,2379
cuddle,7,2380
curl,7,2381
daisy,7,2382
dashed,7,2383
dearest,7,2384
derby,7,2385
digs,7,2386
dinners,7,2387
disappear,7,2388
distance,7,2389
dozing,7,2390
dreadful,7,2391
driving,7,2392
drop,7,2393
eats,7,2394
emma,7,2395
ended,7,2396
enjoy,7,2397
enormous,7,2398
farther,7,2399
fault,7,2400
fishing,7,2401
flapped,7,2402
float,7,2403
following,7,2404
fool,7,2405
france,7,2406
fred,7,2407
gander,7,2408
gathered,7,2409
gentlemen,7,2410
giraffe,7,2411
gloria,7,2412
gloves,7,2413
grandmas,7,2414
grapes,7,2415
gravel,7,2416
growl,7,2417
handy,7,2418
hearts,7,2419
hens,7,2420
hester,7,2421
hidden,7,2422
hiss,7,2423
hoping,7,2424
hum,7,2425
hump,7,2426
ickle,7,2427
inch,7,2428
indoors,7,2429
invisible,7,2430
judy,7,2431
kill,7,2432
knit,7,2433
known,7,2434
lakes,7,2435
laughter,7,2436
lift,7,2437
lizzy,7,2438
llamas,7,2439
locky,7,2440
longed,7,2441
lord,7,2442
lupines,7,2443
madeline,7,2444
mare,7,2445
meanwhile,7,2446
merriweathers,7,2447
missed,7,2448
mobile,7,2449
moves,7,2450
mule,7,2451
mungry,7,2452
murmured,7,2453
neigh,7,2454
nodded,7,2455
nothin,7,2456
painters,7,2457
panda,7,2458
pardon,7,2459
peacock,7,2460
pease,7,2461
peddler,7,2462
peepo,7,2463
peppers,7,2464
pinkalicious,7,2465
pipe,7,2466
plastic,7,2467
plates,7,2468
polly,7,2469
pookie,7,2470
poured,7,2471
pressed,7,2472
pretended,7,2473
prettiest,7,2474
raccoon,7,2475
rag,7,2476
ram,7,2477
rats,7,2478
remind,7,2479
repairs,7,2480
rhinoceros,7,2481
rings,7,2482
rivers,7,2483
roar,7,2484
roaring,7,2485
roars,7,2486
roller,7,2487
sailing,7,2488
santas,7,2489
scarcely,7,2490
scary,7,2491
scream,7,2492
searching,7,2493
shouts,7,2494
siding,7,2495
size,7,2496
skin,7,2497
skinny,7,2498
slipped,7,2499
sneaky,7,2500
snowman,7,2501
speech,7,2502
spotted,7,2503
steal,7,2504
steel,7,2505
stomach,7,2506
stones,7,2507
strangest,7,2508
struck,7,2509
stump,7,2510
sweaters,7,2511
swings,7,2512
tales,7,2513
tasty,7,2514
team,7,2515
theyd,7,2516
thneeds,7,2517
thumbs,7,2518
tiger,7,2519
tin,7,2520
title,7,2521
tomato,7,2522
tow,7,2523
tray,7,2524
trixie,7,2525
troubles,7,2526
unhappy,7,2527
vet,7,2528
village,7,2529
waits,7,2530
walls,7,2531
wave,7,2532
waving,7,2533
whenever,7,2534
witch,7,2535
worn,7,2536
11,6,2537
airplanes,6,2538
american,6,2539
announced,6,2540
antique,6,2541
apart,6,2542
arf,6,2543
axe,6,2544
ba,6,2545
baa,6,2546
backyard,6,2547
bakers,6,2548
bands,6,2549
banged,6,2550
bar,6,2551
bars,6,2552
bean,6,2553
beef,6,2554
ben,6,2555
bessy,6,2556
bicycle,6,2557
bikes,6,2558
bings,6,2559
blade,6,2560
blind,6,2561
bother,6,2562
bout,6,2563
brains,6,2564
brass,6,2565
brings,6,2566
buildings,6,2567
bulls,6,2568
burned,6,2569
cage,6,2570
cakes,6,2571
california,6,2572
camel,6,2573
carrying,6,2574
cast,6,2575
cement,6,2576
charley,6,2577
cheering,6,2578
chewandswallow,6,2579
childhood,6,2580
choice,6,2581
clavel,6,2582
colder,6,2583
comfortable,6,2584
concertina,6,2585
construction,6,2586
cottage,6,2587
counting,6,2588
crawl,6,2589
creep,6,2590
cups,6,2591
cute,6,2592
dancer,6,2593
declared,6,2594
dee,6,2595
delighted,6,2596
delivery,6,2597
dickory,6,2598
difficult,6,2599
dollar,6,2600
dong,6,2601
dozen,6,2602
drake,6,2603
drank,6,2604
drapes,6,2605
dresses,6,2606
dwell,6,2607
eagle,6,2608
elmos,6,2609
elves,6,2610
empties,6,2611
extremely,6,2612
faint,6,2613
falls,6,2614
familys,6,2615
fan,6,2616
feathers,6,2617
firemen,6,2618
flag,6,2619
flavors,6,2620
flea,6,2621
flip,6,2622
forlorn,6,2623
french,6,2624
frisbee,6,2625
frosty,6,2626
fuel,6,2627
garage,6,2628
gather,6,2629
gazed,6,2630
ghost,6,2631
goldilicious,6,2632
grade,6,2633
groaned,6,2634
grumbled,6,2635
hatt,6,2636
heigh,6,2637
hmm,6,2638
honorable,6,2639
hoooo,6,2640
hornpipe,6,2641
hugs,6,2642
icy,6,2643
ing,6,2644
instant,6,2645
iron,6,2646
ish,6,2647
jar,6,2648
jeep,6,2649
jerry,6,2650
jill,6,2651
joey,6,2652
jolly,6,2653
junior,6,2654
k,6,2655
keeps,6,2656
ketchup,6,2657
kindergarten,6,2658
kitty,6,2659
knife,6,2660
lambs,6,2661
landing,6,2662
lap,6,2663
lean,6,2664
learning,6,2665
lessmore,6,2666
licks,6,2667
lifting,6,2668
likely,6,2669
limousine,6,2670
lips,6,2671
loader,6,2672
locks,6,2673
log,6,2674
logs,6,2675
loudly,6,2676
lumpety,6,2677
mars,6,2678
melted,6,2679
mister,6,2680
mittens,6,2681
muff,6,2682
munch,6,2683
mustard,6,2684
narrator,6,2685
noisy,6,2686
nor,6,2687
noses,6,2688
noticed,6,2689
olivias,6,2690
ouch,6,2691
owling,6,2692
paid,6,2693
painting,6,2694
pal,6,2695
pan,6,2696
pans,6,2697
papas,6,2698
patient,6,2699
peas,6,2700
peeked,6,2701
pencil,6,2702
pickled,6,2703
pillow,6,2704
plans,6,2705
plant,6,2706
pleased,6,2707
plow,6,2708
plump,6,2709
pony,6,2710
poodle,6,2711
popperville,6,2712
post,6,2713
powder,6,2714
practicing,6,2715
present,6,2716
public,6,2717
puffing,6,2718
pulls,6,2719
pumped,6,2720
rabbits,6,2721
railroad,6,2722
rails,6,2723
rainbow,6,2724
rake,6,2725
raven,6,2726
redbreast,6,2727
rested,6,2728
resting,6,2729
ridiculous,6,2730
ringing,6,2731
rolling,6,2732
rushing,6,2733
salad,6,2734
sals,6,2735
schlopp,6,2736
scrambled,6,2737
scrub,6,2738
serve,6,2739
shame,6,2740
sheets,6,2741
ships,6,2742
shoot,6,2743
shortcake,6,2744
shoulder,6,2745
sincerely,6,2746
sleeps,6,2747
slug,6,2748
slurp,6,2749
smashed,6,2750
smiles,6,2751
sneezed,6,2752
sneezing,6,2753
snowed,6,2754
snowflakes,6,2755
sofa,6,2756
soul,6,2757
spelled,6,2758
splosh,6,2759
sprinkled,6,2760
squeeze,6,2761
stands,6,2762
starting,6,2763
stopping,6,2764
stout,6,2765
straightened,6,2766
strawberries,6,2767
stream,6,2768
stumpy,6,2769
tastes,6,2770
temb,6,2771
tiptoe,6,2772
tire,6,2773
toilet,6,2774
topham,6,2775
toucan,6,2776
trailer,6,2777
tripped,6,2778
truly,6,2779
tub,6,2780
tuck,6,2781
twas,6,2782
type,6,2783
underground,6,2784
upset,6,2785
uses,6,2786
walrus,6,2787
weary,6,2788
whales,6,2789
wickersham,6,2790
wiggle,6,2791
wiped,6,2792
won,6,2793
wooden,6,2794
written,6,2795
york,6,2796
1935,5,2797
al,5,2798
alley,5,2799
allow,5,2800
although,5,2801
amble,5,2802
america,5,2803
angelinas,5,2804
ankles,5,2805
annas,5,2806
antonio,5,2807
anybody,5,2808
aphids,5,2809
arabella,5,2810
armchair,5,2811
art,5,2812
beard,5,2813
beaver,5,2814
bends,5,2815
bens,5,2816
biggered,5,2817
biggering,5,2818
bims,5,2819
blackberry,5,2820
boil,5,2821
bored,5,2822
bowed,5,2823
bowls,5,2824
brand,5,2825
breaks,5,2826
bridges,5,2827
brightly,5,2828
bringing,5,2829
bubble,5,2830
bug,5,2831
bun,5,2832
butt,5,2833
camels,5,2834
camper,5,2835
carle,5,2836
catnip,5,2837
cha,5,2838
changing,5,2839
check,5,2840
cheeks,5,2841
cheeky,5,2842
chimpanzees,5,2843
chomp,5,2844
chrysanthemums,5,2845
clearing,5,2846
climber,5,2847
completely,5,2848
congratulations,5,2849
cooked,5,2850
cork,5,2851
costumes,5,2852
coughed,5,2853
cousins,5,2854
cracked,5,2855
cranes,5,2856
creak,5,2857
cricket,5,2858
crisp,5,2859
crossed,5,2860
crowded,5,2861
cupboard,5,2862
curls,5,2863
customers,5,2864
dawson,5,2865
deal,5,2866
decker,5,2867
deeds,5,2868
delight,5,2869
dessert,5,2870
diamonds,5,2871
digger,5,2872
direction,5,2873
discouraged,5,2874
disturb,5,2875
ditch,5,2876
dome,5,2877
doth,5,2878
dragged,5,2879
drawing,5,2880
dried,5,2881
dumped,5,2882
dumpling,5,2883
dumplings,5,2884
duty,5,2885
dw,5,2886
eddie,5,2887
eighteen,5,2888
electricity,5,2889
encyclopedias,5,2890
english,5,2891
eve,5,2892
excellent,5,2893
fa,5,2894
fairly,5,2895
famous,5,2896
fantastic,5,2897
feelings,5,2898
firemans,5,2899
flamingo,5,2900
flies,5,2901
flour,5,2902
forehead,5,2903
forests,5,2904
form,5,2905
forty,5,2906
fourth,5,2907
foxes,5,2908
foxy,5,2909
francine,5,2910
freeze,5,2911
fried,5,2912
furious,5,2913
gardener,5,2914
gardens,5,2915
gathering,5,2916
genius,5,2917
gigantic,5,2918
glance,5,2919
glug,5,2920
gogol,5,2921
gooey,5,2922
gorilla,5,2923
gotten,5,2924
grain,5,2925
grand,5,2926
grannys,5,2927
grassy,5,2928
grin,5,2929
guest,5,2930
gulped,5,2931
hairy,5,2932
hark,5,2933
harriet,5,2934
hedgehog,5,2935
heron,5,2936
hides,5,2937
hiding,5,2938
highest,5,2939
highways,5,2940
hoot,5,2941
hops,5,2942
huh,5,2943
humming,5,2944
hunted,5,2945
hunter,5,2946
hunting,5,2947
husband,5,2948
ideas,5,2949
immediately,5,2950
impatient,5,2951
insisted,5,2952
jealous,5,2953
jet,5,2954
joke,5,2955
journey,5,2956
katie,5,2957
kettle,5,2958
kits,5,2959
kuplunk,5,2960
lake,5,2961
lamp,5,2962
larger,5,2963
laundry,5,2964
lend,5,2965
leo,5,2966
lesson,5,2967
licked,5,2968
lined,5,2969
listening,5,2970
lit,5,2971
loaded,5,2972
loxy,5,2973
lump,5,2974
magician,5,2975
maiden,5,2976
marshall,5,2977
marvelous,5,2978
measured,5,2979
member,5,2980
merrily,5,2981
merrymen,5,2982
midnight,5,2983
milked,5,2984
mistake,5,2985
mit,5,2986
mmmm,5,2987
months,5,2988
mood,5,2989
mornings,5,2990
mouthful,5,2991
mulberry,5,2992
necks,5,2993
ned,5,2994
neighbor,5,2995
nibble,5,2996
nighttime,5,2997
ninety,5,2998
noah,5,2999
noh,5,3000
noodles,5,3001
nook,5,3002
november,5,3003
oats,5,3004
oranges,5,3005
ordered,5,3006
package,5,3007
painted,5,3008
paints,5,3009
pairs,5,3010
parrot,5,3011
patted,5,3012
peanuts,5,3013
peck,5,3014
pepper,5,3015
pets,5,3016
petticoat,5,3017
pine,5,3018
pins,5,3019
pits,5,3020
pitt,5,3021
pizza,5,3022
pockets,5,3023
possibly,5,3024
pouch,5,3025
pouring,5,3026
prairie,5,3027
prayers,5,3028
press,5,3029
private,5,3030
pumpkin,5,3031
pushkin,5,3032
puts,5,3033
quacked,5,3034
quarter,5,3035
raspberry,5,3036
ratburn,5,3037
reindeer,5,3038
reminded,5,3039
rhyme,5,3040
roadster,5,3041
robot,5,3042
ronald,5,3043
rosebush,5,3044
roses,5,3045
ruler,5,3046
sandra,5,3047
sanitation,5,3048
scratching,5,3049
search,5,3050
sense,5,3051
september,5,3052
several,5,3053
shadows,5,3054
shape,5,3055
shaped,5,3056
sharing,5,3057
shine,5,3058
shone,5,3059
shows,5,3060
sides,5,3061
skipping,5,3062
smaller,5,3063
smoking,5,3064
smooch,5,3065
snakes,5,3066
snooks,5,3067
snorting,5,3068
snowball,5,3069
snowy,5,3070
snuff,5,3071
snug,5,3072
soccer,5,3073
somehow,5,3074
sorts,5,3075
sour,5,3076
speaks,5,3077
spend,5,3078
spit,5,3079
splatt,5,3080
splish,5,3081
sport,5,3082
squashed,5,3083
squeezed,5,3084
squelch,5,3085
squerch,5,3086
stacks,5,3087
state,5,3088
steak,5,3089
steaming,5,3090
steamroller,5,3091
stegosaurus,5,3092
stepmother,5,3093
sticky,5,3094
strength,5,3095
strike,5,3096
student,5,3097
stuffed,5,3098
suits,5,3099
sunshine,5,3100
suppose,5,3101
surgeon,5,3102
swashy,5,3103
sweep,5,3104
swishy,5,3105
sword,5,3106
tailors,5,3107
tarts,5,3108
tattered,5,3109
tembo,5,3110
test,5,3111
thirsty,5,3112
thoughtful,5,3113
throughout,5,3114
tires,5,3115
toll,5,3116
tomatoes,5,3117
tongues,5,3118
tother,5,3119
tower,5,3120
travel,5,3121
treasure,5,3122
tug,5,3123
tunnel,5,3124
twitched,5,3125
typewriter,5,3126
uncles,5,3127
understood,5,3128
ups,5,3129
v,5,3130
visited,5,3131
vroom,5,3132
waddle,5,3133
wakes,5,3134
wander,5,3135
warn,5,3136
wearies,5,3137
whack,5,3138
whipped,5,3139
whispering,5,3140
whistling,5,3141
whither,5,3142
whoa,5,3143
whoever,5,3144
wig,5,3145
wildly,5,3146
wink,5,3147
wipe,5,3148
works,5,3149
worth,5,3150
wound,5,3151
yards,5,3152
yawn,5,3153
yawned,5,3154
yep,5,3155
yuck,5,3156
yum,5,3157
0,4,3158
"12,3",4,3159
27,4,3160
adopt,4,3161
adventures,4,3162
advice,4,3163
africa,4,3164
afterwards,4,3165
alas,4,3166
alike,4,3167
aloud,4,3168
angus,4,3169
ankle,4,3170
arfarfarf,4,3171
armadillo,4,3172
army,4,3173
arranged,4,3174
arriving,4,3175
author,4,3176
automobiles,4,3177
babushka,4,3178
backed,4,3179
bade,4,3180
badger,4,3181
badly,4,3182
bags,4,3183
bananas,4,3184
bapa,4,3185
bare,4,3186
barked,4,3187
barnyard,4,3188
base,4,3189
bash,4,3190
bathtub,4,3191
bay,4,3192
beast,4,3193
beauty,4,3194
begun,4,3195
bellowed,4,3196
benjamin,4,3197
blah,4,3198
blinked,4,3199
blood,4,3200
boats,4,3201
bonk,4,3202
boo,4,3203
bore,4,3204
borrow,4,3205
bothering,4,3206
bottles,4,3207
bottomed,4,3208
bouncing,4,3209
bouquet,4,3210
bowling,4,3211
brandywine,4,3212
bray,4,3213
breaded,4,3214
bride,4,3215
broccoli,4,3216
burp,4,3217
butterflies,4,3218
buying,4,3219
cab,4,3220
cadet,4,3221
calm,4,3222
camillas,4,3223
camp,4,3224
canter,4,3225
cape,4,3226
card,4,3227
cards,4,3228
carrier,4,3229
carton,4,3230
catsandratsandelephants,4,3231
caw,4,3232
chalk,4,3233
chances,4,3234
chased,4,3235
chases,4,3236
cheers,4,3237
chester,4,3238
chewing,4,3239
chills,4,3240
chimney,4,3241
chopper,4,3242
chose,4,3243
chud,4,3244
cities,4,3245
clearly,4,3246
clerk,4,3247
clump,4,3248
coach,4,3249
coin,4,3250
command,4,3251
confused,4,3252
contents,4,3253
continue,4,3254
conversation,4,3255
cookies,4,3256
coupled,4,3257
courage,4,3258
cradle,4,3259
croak,4,3260
crocodile,4,3261
crusoe,4,3262
cubs,4,3263
cupcake,4,3264
currant,4,3265
cyril,4,3266
dainty,4,3267
damp,4,3268
darkness,4,3269
dawn,4,3270
desert,4,3271
determined,4,3272
disappointed,4,3273
dive,4,3274
dough,4,3275
dove,4,3276
drawn,4,3277
drinking,4,3278
drowned,4,3279
drums,4,3280
dumb,4,3281
dumper,4,3282
dumpty,4,3283
dusted,4,3284
dusting,4,3285
elbow,4,3286
elf,4,3287
ellen,4,3288
envelope,4,3289
errand,4,3290
eventually,4,3291
everybodys,4,3292
everyones,4,3293
evil,4,3294
excitement,4,3295
expect,4,3296
experts,4,3297
faced,4,3298
factories,4,3299
factory,4,3300
farmers,4,3301
fastened,4,3302
fastest,4,3303
feather,4,3304
feeds,4,3305
felsh,4,3306
festoon,4,3307
fiddlers,4,3308
fierce,4,3309
fighting,4,3310
fights,4,3311
figure,4,3312
finest,4,3313
fires,4,3314
fishes,4,3315
fits,4,3316
fixed,4,3317
fixing,4,3318
flapping,4,3319
flashlight,4,3320
fled,4,3321
floating,4,3322
floors,4,3323
fluff,4,3324
flung,4,3325
flutter,4,3326
fog,4,3327
football,4,3328
footprints,4,3329
forgive,4,3330
fork,4,3331
forwards,4,3332
fret,4,3333
fright,4,3334
frightening,4,3335
frost,4,3336
frowned,4,3337
frozen,4,3338
further,4,3339
fuss,4,3340
gaily,4,3341
gasoline,4,3342
giggles,4,3343
glittery,4,3344
glove,4,3345
gorgeous,4,3346
gourd,4,3347
gox,4,3348
gramma,4,3349
gramps,4,3350
grandfathers,4,3351
greatest,4,3352
greatly,4,3353
grind,4,3354
groat,4,3355
gun,4,3356
guys,4,3357
habit,4,3358
habits,4,3359
hack,4,3360
haired,4,3361
halloween,4,3362
handies,4,3363
happens,4,3364
hasnt,4,3365
hated,4,3366
healthy,4,3367
heap,4,3368
hearing,4,3369
heat,4,3370
heavens,4,3371
hitch,4,3372
hmmmm,4,3373
hobbledy,4,3374
hollow,4,3375
honored,4,3376
horrid,4,3377
howl,4,3378
howled,4,3379
howling,4,3380
hubbard,4,3381
huffed,4,3382
hugged,4,3383
humpty,4,3384
icebox,4,3385
ignored,4,3386
impossible,4,3387
inches,4,3388
interrupted,4,3389
introduced,4,3390
jake,4,3391
jane,4,3392
jellyball,4,3393
jockey,4,3394
joys,4,3395
kack,4,3396
kangaroos,4,3397
keeping,4,3398
kick,4,3399
kidding,4,3400
kindness,4,3401
kitties,4,3402
klack,4,3403
klick,4,3404
knitted,4,3405
knocker,4,3406
knuffle,4,3407
kuplink,4,3408
lad,4,3409
ladys,4,3410
lair,4,3411
lal,4,3412
leaned,4,3413
leaning,4,3414
leaped,4,3415
leather,4,3416
leopard,4,3417
lester,4,3418
lick,4,3419
licking,4,3420
lip,4,3421
lizards,4,3422
loads,4,3423
lobster,4,3424
locomotive,4,3425
longest,4,3426
louder,4,3427
lower,4,3428
lucys,4,3429
luke,4,3430
lullaby,4,3431
lupine,4,3432
mailbox,4,3433
mammy,4,3434
managed,4,3435
mans,4,3436
map,4,3437
mattress,4,3438
mattresses,4,3439
medium,4,3440
mended,4,3441
mermaid,4,3442
meter,4,3443
miller,4,3444
mini,4,3445
moms,4,3446
month,4,3447
moonlit,4,3448
moose,4,3449
mortimers,4,3450
mostly,4,3451
motorcycle,4,3452
mouths,4,3453
movers,4,3454
movies,4,3455
muffin,4,3456
munching,4,3457
mustache,4,3458
nack,4,3459
napkins,4,3460
narrow,4,3461
needles,4,3462
neer,4,3463
nervous,4,3464
newspaper,4,3465
noises,4,3466
