word,childes,childes_rank,childes_freq_z,childes_rank_z
amy's,14,9244,-0.047044820750258835,-1.1106531271309976
anderson,14,9245,-0.047044820750258835,-1.110585896311769
angler+fish,14,9246,-0.047044820750258835,-1.1105186654925405
ann's,14,9247,-0.047044820750258835,-1.110451434673312
anna's,14,9248,-0.047044820750258835,-1.1103842038540834
anteater,14,9249,-0.047044820750258835,-1.110316973034855
arabesque,14,9250,-0.047044820750258835,-1.1102497422156263
arnold,14,9251,-0.047044820750258835,-1.110182511396398
attitude,14,9252,-0.047044820750258835,-1.1101152805771695
bababa,14,9253,-0.047044820750258835,-1.1100480497579408
back+yard,14,9254,-0.047044820750258835,-1.1099808189387124
backpack's,14,9255,-0.047044820750258835,-1.109913588119484
backpacks,14,9256,-0.047044820750258835,-1.1098463573002553
bady,14,9257,-0.047044820750258835,-1.1097791264810268
bakes,14,9258,-0.047044820750258835,-1.1097118956617984
ballie,14,9259,-0.047044820750258835,-1.1096446648425697
baltimore,14,9260,-0.047044820750258835,-1.1095774340233413
bambi's,14,9261,-0.047044820750258835,-1.1095102032041126
banana's,14,9262,-0.047044820750258835,-1.1094429723848842
barracuda,14,9263,-0.047044820750258835,-1.1093757415656558
batcher,14,9264,-0.047044820750258835,-1.1093085107464271
battery's,14,9265,-0.047044820750258835,-1.1092412799271987
beatles,14,9266,-0.047044820750258835,-1.1091740491079702
beet,14,9267,-0.047044820750258835,-1.1091068182887416
billy+goat,14,9268,-0.047044820750258835,-1.1090395874695131
bluejeans,14,9269,-0.047044820750258835,-1.1089723566502847
blurp,14,9270,-0.047044820750258835,-1.108905125831056
boar,14,9271,-0.047044820750258835,-1.1088378950118276
boat's,14,9272,-0.047044820750258835,-1.1087706641925992
bobcat,14,9273,-0.047044820750258835,-1.1087034333733705
boinga,14,9274,-0.047044820750258835,-1.108636202554142
bond,14,9275,-0.047044820750258835,-1.1085689717349134
bonked,14,9276,-0.047044820750258835,-1.108501740915685
border,14,9277,-0.047044820750258835,-1.1084345100964565
bras,14,9278,-0.047044820750258835,-1.108367279277228
bravely,14,9279,-0.047044820750258835,-1.1083000484579995
brett's,14,9280,-0.047044820750258835,-1.108232817638771
brm,14,9281,-0.047044820750258835,-1.1081655868195424
bronco,14,9282,-0.047044820750258835,-1.108098356000314
budge,14,9283,-0.047044820750258835,-1.1080311251810855
bunkhouse,14,9284,-0.047044820750258835,-1.1079638943618568
camel's,14,9285,-0.047044820750258835,-1.1078966635426284
canceled,14,9286,-0.047044820750258835,-1.1078294327233997
car+car,14,9287,-0.047044820750258835,-1.1077622019041713
caroline,14,9288,-0.047044820750258835,-1.1076949710849429
caw,14,9289,-0.047044820750258835,-1.1076277402657142
cello,14,9290,-0.047044820750258835,-1.1075605094464858
cera,14,9291,-0.047044820750258835,-1.1074932786272573
chandelier,14,9292,-0.047044820750258835,-1.1074260478080287
charley,14,9293,-0.047044820750258835,-1.1073588169888002
charms,14,9294,-0.047044820750258835,-1.1072915861695718
chatty,14,9295,-0.047044820750258835,-1.1072243553503431
chuckie_cheese,14,9296,-0.047044820750258835,-1.1071571245311147
cigar,14,9297,-0.047044820750258835,-1.107089893711886
clang,14,9298,-0.047044820750258835,-1.1070226628926576
clicking,14,9299,-0.047044820750258835,-1.1069554320734292
coaster,14,9300,-0.047044820750258835,-1.1068882012542005
cocktail,14,9301,-0.047044820750258835,-1.106820970434972
coloring+book,14,9302,-0.047044820750258835,-1.1067537396157436
community,14,9303,-0.047044820750258835,-1.106686508796515
considered,14,9304,-0.047044820750258835,-1.1066192779772865
cooperative,14,9305,-0.047044820750258835,-1.106552047158058
corinna,14,9306,-0.047044820750258835,-1.1064848163388294
cousin's,14,9307,-0.047044820750258835,-1.106417585519601
creamy,14,9308,-0.047044820750258835,-1.1063503547003726
creeping,14,9309,-0.047044820750258835,-1.106283123881144
crumpled,14,9310,-0.047044820750258835,-1.1062158930619155
cu,14,9311,-0.047044820750258835,-1.1061486622426868
curvy,14,9312,-0.047044820750258835,-1.1060814314234584
cymbals,14,9313,-0.047044820750258835,-1.10601420060423
darlene,14,9314,-0.047044820750258835,-1.1059469697850013
decides,14,9315,-0.047044820750258835,-1.1058797389657729
defense,14,9316,-0.047044820750258835,-1.1058125081465444
delivered,14,9317,-0.047044820750258835,-1.1057452773273158
dewey,14,9318,-0.047044820750258835,-1.1056780465080873
didl,14,9319,-0.047044820750258835,-1.1056108156888589
dijou,14,9320,-0.047044820750258835,-1.1055435848696302
dilly,14,9321,-0.047044820750258835,-1.1054763540504018
dings,14,9322,-0.047044820750258835,-1.1054091232311731
discussing,14,9323,-0.047044820750258835,-1.1053418924119447
dixie,14,9324,-0.047044820750258835,-1.1052746615927163
doll+house,14,9325,-0.047044820750258835,-1.1052074307734876
dorothy's,14,9326,-0.047044820750258835,-1.1051401999542592
dring,14,9327,-0.047044820750258835,-1.1050729691350307
drinker,14,9328,-0.047044820750258835,-1.105005738315802
drowning,14,9329,-0.047044820750258835,-1.1049385074965736
dumbbell,14,9330,-0.047044820750258835,-1.1048712766773452
dwink,14,9331,-0.047044820750258835,-1.1048040458581165
eagles,14,9332,-0.047044820750258835,-1.104736815038888
electrical,14,9333,-0.047044820750258835,-1.1046695842196597
etcetera,14,9334,-0.047044820750258835,-1.104602353400431
expected,14,9335,-0.047044820750258835,-1.1045351225812026
eyelash,14,9336,-0.047044820750258835,-1.104467891761974
faint,14,9337,-0.047044820750258835,-1.1044006609427455
familia,14,9338,-0.047044820750258835,-1.104333430123517
fawn,14,9339,-0.047044820750258835,-1.1042661993042884
